,ingredient,count,status
9,salt,262,common
5,onion,230,common
58,sugar,168,common
13,water,113,common
94,chicken,108,common
21,garlic cloves,100,common
47,butter,90,common
243,soy sauce,90,common
2,garlic,87,common
76,olive oil,86,common
6,black pepper,81,common
50,flour,73,common
34,ginger,64,common
31,vegetable oil,59,common
95,pepper,56,common
91,eggs,55,common
15,tomatoes,54,common
467,sesame oil,44,common
12,parsley,39,common
203,red pepper,39,common
27,cilantro,39,common
542,sesame seeds,38,common
1,lemon juice,37,common
49,milk,36,common
10,beef,34,common
46,oil,33,common
38,pork,32,common
68,cumin,31,common
135,cornstarch,31,common
440,lime juice,28,common
33,garlic clove,28,common
37,coriander,27,common
79,potatoes,27,common
190,virgin olive oil,26,common
87,egg,26,common
129,carrots,25,common
451,rice vinegar,25,common
41,chili powder,24,common
436,fish sauce,24,common
63,cinnamon,24,common
194,shrimp,23,common
109,garlic powder,23,common
30,red bell pepper,23,common
100,oregano,22,common
69,paprika,22,common
99,basil,22,common
29,coconut milk,21,common
39,gingerroot,21,common
196,mushrooms,19,normal
469,peanut oil,19,normal
223,carrot,19,normal
7,cayenne pepper,18,normal
334,cheddar cheese,17,normal
62,nutmeg,17,normal
101,parmesan cheese,16,normal
114,celery,16,normal
110,mushroom,15,normal
289,cabbage,15,normal
102,thyme,15,normal
279,sour cream,15,normal
277,scallions,15,normal
42,turmeric,15,normal
312,heavy cream,15,normal
280,white pepper,14,normal
43,green chilies,13,normal
375,bacon,13,normal
61,honey,13,normal
253,dry white wine,13,normal
117,spinach,12,normal
610,tortillas,12,normal
90,yeast,12,normal
293,dry sherry,12,normal
192,mayonnaise,12,normal
415,cream cheese,11,normal
388,tomato sauce,11,normal
539,rice wine,11,normal
317,mozzarella cheese,11,normal
60,cream,11,normal
113,firm tofu,11,normal
40,garam masala,10,normal
396,zucchini,10,normal
122,plum tomatoes,10,normal
32,tomato paste,10,normal
45,basmati rice,10,normal
26,peas,10,normal
111,rice,10,normal
103,bay leaf,10,normal
80,green bell pepper,10,normal
608,dark sesame oil,9,normal
669,monterey jack cheese,9,normal
134,canola oil,9,normal
544,mirin,9,normal
665,black beans,9,normal
149,cloves,9,normal
228,breadcrumbs,9,normal
0,plain yogurt,9,normal
179,rosemary,9,normal
35,curry powder,9,normal
352,shallots,9,normal
401,cooked rice,9,normal
443,lemongrass,9,normal
54,red chilies,8,normal
264,balsamic vinegar,8,normal
126,ricotta cheese,8,normal
127,scallion,8,normal
270,green pepper,8,normal
20,cumin seed,8,normal
72,red chili powder,8,normal
322,vanilla extract,8,normal
4,vinegar,8,normal
664,salsa,8,normal
802,vanilla,8,normal
507,low sodium soy sauce,8,normal
460,peanuts,8,normal
537,avocado,8,normal
77,coriander leaves,8,normal
553,baking soda,7,normal
224,tarragon,7,normal
242,green peppers,7,normal
220,red wine vinegar,7,normal
598,corn,7,normal
125,mint leaves,7,normal
251,sausage,7,normal
478,rice wine vinegar,7,normal
442,maple syrup,7,normal
434,red curry paste,7,normal
233,leek,7,normal
496,ketchup,7,normal
108,cilantro leaves,7,normal
533,sake,7,normal
231,flat leaf parsley,7,normal
28,chickpeas,6,normal
198,chives,6,normal
429,thai red curry paste,6,normal
17,lettuce,6,normal
